externalId,name,consoleAbbreviation,consoleName,publisher,releaseDate,summary
135583,Arcade Archives P-47,ps4,PlayStation 4,HAMSTER,07/01/2020 21:00:00,"""P-47"" is a shooting game released by JALECO in 1988. 
Use machine guns and special weapons to defeat the enemy troops attacking from the land, sea, and air. With exhilarating great plains, seas of clouds shining in the setting sun, and the open ocean where battleships 4 screens long appear, and more. These immersive stages can be enjoyed with 2 people playing simultaneously."
135583,Arcade Archives P-47,switch,Nintendo Switch,HAMSTER,07/01/2020 21:00:00,"""P-47"" is a shooting game released by JALECO in 1988. 
Use machine guns and special weapons to defeat the enemy troops attacking from the land, sea, and air. With exhilarating great plains, seas of clouds shining in the setting sun, and the open ocean where battleships 4 screens long appear, and more. These immersive stages can be enjoyed with 2 people playing simultaneously."
132969,Infliction: Extended Cut,switch,Nintendo Switch,Blowfish Studios,07/01/2020 21:00:00,"Wander through an interactive nightmare set within the confines of a once-happy household. Uncover the heartbreaking mystery hidden within messages, artwork, household objects, and other vestiges of domestic life all while struggling to survive encounters with an entity that relentlessly stands in the way of finding absolution. Hide under tables or beneath beds and harness light sources like camera flashes to stun the spirit and momentarily elude its pursuit."
122049,The Wanderer: Frankenstein's Creature,switch,Nintendo Switch,ARTE France,07/01/2020 21:00:00,"In this exploration/adventure game, you play Frankenstein’s Creature, a being with no memory and past. At the start of the game you know neither Good nor Evil, you are a blank soul in an adult body. By exploring the world, you will experience your emotions, develop and write the first pages of your story. When confronted with mankind, there will be no way to escape the question of your origins: Who abandoned you in this world? Hunted by this question The Wanderer: Frankenstein’s Creature will take you on an adventure throughout Europe. Your experiences - some brutal and tragic, others joyful - as well as your choices, will bring you closer to the truth with every step. But will you be ready to face this truth?"
127604,EAGLETALON vs. HORDE OF THE FLIES,switch,Nintendo Switch,"DICO Co., Ltd.",07/01/2020 21:00:00,"The Eagle Talon is Super hard! Freakin' hard! And now in Puzzle Action form! You become the fighting leader of Eagle Talon, collecting artifacts and friends, and prevent Horde of the Flies' aspirations of world dominance! This game will require you to use your head!"
30163,Keen,switch,Nintendo Switch,Cat Nigiri,07/01/2020 21:00:00,"Guide Kim, a grumpy little girl raised by her grandmother on a journey to stop an evil corporation from destroying her village. Fluid gameplay allow players to choose their own pace, whether fast as a hack'n'slash or methodic as chess. Keen is a game for the tactics player, the puzzle fan, and anyone that loves a solid, old-school adventure."
101512,Pool Slide Story,switch,Nintendo Switch,Kairosoft,07/01/2020 21:00:00,"Splish, splash, splosh! The time has come to create some waves and open your very own wet, wonderful (sometimes whacky) water park! Hear that? That’s the sound of super-slippy pool-slide shenanigans. You want in? Of course you do. 
 
Expand your water park, adding exciting facilities, and become the talk of the town. Your visitors will take selfies at your park, generating free publicity for you! Befriend them and they'll send you comments and suggestions. 
 
Make your visitors happy by offering a range of foods and beverages for purchase at food stalls, creating colored or scented pools, and giving away free floats and swimwear. 
 
Collect ingredients and cook foods, then create menus for your food stalls. 
 
You'll be spoiled for choice when customizing your water park, with a wide choice of attractions to build. You can also have both indoor and outdoor pools, so that no matter the weather, your visitors will always have somewhere to splash about in comfort. 
 
Can you create a wonderful water park that everyone will love?"
135636,FINAL SWORD,switch,Nintendo Switch,HUP Games,07/01/2020 21:00:00,"The source of evil, it has brought numerous monster corps. 
Defeat the source of evil by acquiring various skills and magics through the adventure. 
You will experience breathtaking battles with real fantasy monsters."
32929,Mars Odyssey,ps4,PlayStation 4,Steel Wool Studios,07/02/2020 21:00:00,"Mars Odyssey is a single player VR simulator experience. Land on Earth’s sister planet. Walk the surface of Mars in your living room and interact with full-scale, realistic NASA Landers and Rovers. Learn about the Red Planet, its history, and its geography in this interactive experience. Play time: 20 min."
85668,The Dreamlands: Aisling's Quest,ps4,PlayStation 4,The Domaginarium,07/02/2020 21:00:00,Help Aisling free The Dreamlands from The Mourner! The Dreamlands: Aisling's Quest is an adventure game that blends fantasy and mystery elements to present a gripping story.
